descricao,ID,update
,1,
Alta competitividade associado a estabilidade ,2,
Alta competitividade e adaptabilidade produtiva em ambientes de baixo-medio rendimento (< 13.000 kg,3,
Alta performance produtiva ,4,
"Alta performance produtiva em todos os ambientes de produção, com maior competitividade nos ambientes de médio-alto potencial ",5,
Altamente responsivo a manejo ,6,
Alto peso de grãos ,7,
Alto peso de mil grãos e qualidade de grãos ,8,
Alto potencial produtivo associado a estabilidade  ,9,
Alto potencial produtivo associado a estabilidade em todos os ambientes de produção ,10,
Alto potencial produtivo associado a estabilidade nos ambientes de médio-alto potencial ,11,
Alto potencial produtivo com destaque principalmente nos ambientes de médio-alto potencial ,12,
Alto potencial produtivo de grãos associado a boa estabilidade ,13,
Alto potencial produtivo destacando-se em ambiente da alto rendimento ,14,
Alto risco de quebramento de colmo,15,
Ampla janela de plantio decorrente da sanidade e tolerancia a complexo de enfezamento ,16,
Amplitude de janela de plantio ,17,
Amplitude de plantio ,18,
"Apesar da ForSeed recomendar o produto para ambiente de alto rendimento, o mesmo apresentou baixa competitividade neste ambiente quando comparado com o portfólio da Bayer (todas as marcas) ",19,
Apresenta boa estabilidade em ambientes mais restritivos ,20,
Aptidão para silagem,21,
Atenção a quebramento de colmo,22,
Atenção para grãos ardidos ,23,
Atenção para grãos ardidos (Diplodia) ,24,
Baixo risco de acamamento (raiz),25,
Baixo risco de acamamento e quebramento ,26,
Baixo risco de quebramento e tombamento ,27,
Biotecnologia (PWU) ,28,
Biotecnologia Powercore Ultra (Tolerancia a Glufosinato de Amônio),29,
Biotecnologia Trecepta,30,
Boa adaptabilidade e estabilidade ,31,
Boa estabilidade ,32,
Boa estabilidade com foco em ambientes de baixo e médio potencial ,33,
Boa estabilidade e adaptabilidade ,34,
Boa estabilidade e adpatabilidade ,35,
Boa estabilidade em ambientes de medio-alto potencial ,36,
Boa performance produtiva associado a estabilidade principalmente nos ambientes de médio-baixo potencial ,37,
Boa qualidade de colmo (baixo risco de acamamento e quebramento) ,38,
Boa qualidade de colmo e raiz,39,
Boa qualidade de grãos,40,
Boa resposta a todos os ambientes de produção ,41,
Boa sanidade de espiga ,42,
Boa sanidade de grãos ,43,
Boa sanidade foliar ,44,
Boa sanidade foliar e de grãos ,45,
Boa Tolerancia  a estria bacteriana ,46,
Boa tolerancia a Cercospora ,47,
Boa Tolerancia a estria bacteriana ,48,
Boa Tolerancia a grãos ardidos,49,
Boa tolerancia a grãos ardidos ,50,
